Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Quantity,Discount
ORD-001,2024-05-03,2024-05-05,Second Class,CUST-703,PROD-048,8,0.2
ORD-002,2024-08-18,2024-08-23,Second Class,CUST-126,PROD-037,2,0
ORD-003,2024-04-18,2024-04-23,Same Day,CUST-634,PROD-058,7,0
ORD-004,2024-08-13,2024-08-19,Second Class,CUST-122,PROD-025,10,0.2
ORD-005,2024-04-28,2024-05-02,Second Class,CUST-026,PROD-064,10,0
ORD-006,2024-05-20,2024-05-26,Third Class,CUST-114,PROD-009,1,0.2
ORD-007,2024-08-24,2024-08-27,Second Class,CUST-908,PROD-094,5,0.2
ORD-008,2024-09-21,2024-09-28,Second Class,CUST-477,PROD-087,7,0.2
ORD-009,2024-09-29,2024-10-05,Same Day,CUST-156,PROD-076,6,0
ORD-010,2024-06-12,2024-06-16,Same Day,CUST-553,PROD-073,8,0
ORD-011,2024-07-13,2024-07-19,First Class,CUST-644,PROD-054,3,0
ORD-012,2024-12-23,2024-12-24,Second Class,CUST-153,PROD-062,4,0.2
ORD-013,2024-10-10,2024-10-11,Second Class,CUST-609,PROD-084,8,0.1
ORD-014,2024-05-24,2024-05-29,Second Class,CUST-391,PROD-022,5,0
ORD-015,2024-06-09,2024-06-10,Same Day,CUST-654,PROD-093,10,0
ORD-016,2024-08-16,2024-08-17,Same Day,CUST-255,PROD-022,1,0.1
ORD-017,2024-08-23,2024-08-26,Second Class,CUST-070,PROD-094,10,0
ORD-018,2024-10-15,2024-10-18,Third Class,CUST-466,PROD-055,4,0.1
ORD-019,2024-07-19,2024-07-23,Second Class,CUST-853,PROD-080,6,0
ORD-020,2024-12-02,2024-12-07,Third Class,CUST-397,PROD-003,1,0.2
ORD-021,2024-06-26,2024-06-30,Second Class,CUST-545,PROD-002,6,0.1
ORD-022,2024-11-16,2024-11-20,Second Class,CUST-399,PROD-076,4,0.2
ORD-023,2024-12-12,2024-12-16,First Class,CUST-641,PROD-047,8,0
ORD-024,2024-09-12,2024-09-16,Same Day,CUST-842,PROD-040,7,0.1
ORD-025,2024-12-15,2024-12-19,Third Class,CUST-565,PROD-018,10,0
ORD-026,2024-07-22,2024-07-24,Same Day,CUST-034,PROD-081,7,0.1
ORD-027,2024-12-12,2024-12-13,First Class,CUST-498,PROD-062,4,0.1
ORD-028,2024-10-26,2024-11-02,First Class,CUST-777,PROD-038,4,0.2
ORD-029,2024-05-02,2024-05-08,Third Class,CUST-549,PROD-089,8,0.2
ORD-030,2024-05-06,2024-05-08,Same Day,CUST-513,PROD-012,9,0.1
ORD-031,2024-08-17,2024-08-19,First Class,CUST-619,PROD-031,1,0.2
ORD-032,2024-07-27,2024-08-01,Same Day,CUST-242,PROD-009,3,0
ORD-033,2024-12-28,2025-01-02,Third Class,CUST-361,PROD-078,2,0.2
ORD-034,2024-04-05,2024-04-10,Second Class,CUST-096,PROD-073,1,0.1
ORD-035,2024-06-20,2024-06-27,Second Class,CUST-982,PROD-028,10,0.2
ORD-036,2024-12-28,2025-01-02,Same Day,CUST-386,PROD-012,5,0.2
ORD-037,2024-02-14,2024-02-15,Second Class,CUST-449,PROD-005,5,0.1
ORD-038,2024-11-10,2024-11-15,Same Day,CUST-403,PROD-072,10,0.2
ORD-039,2024-02-28,2024-03-04,Second Class,CUST-605,PROD-017,8,0.1
ORD-040,2024-04-01,2024-04-08,Second Class,CUST-437,PROD-012,8,0.1
ORD-041,2024-09-15,2024-09-21,Same Day,CUST-937,PROD-020,9,0.2
ORD-042,2024-02-07,2024-02-12,Same Day,CUST-291,PROD-077,2,0.2
ORD-043,2024-08-18,2024-08-23,First Class,CUST-565,PROD-009,10,0
ORD-044,2024-06-28,2024-07-01,Second Class,CUST-173,PROD-011,8,0.1
