Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Quantity,Discount
ORD-001,2020-10-22,2020-10-28,First Class,CUST-531,PROD-024,3,0.1
ORD-002,2020-01-26,2020-01-31,Second Class,CUST-988,PROD-021,6,0
ORD-003,2020-01-24,2020-01-26,Second Class,CUST-176,PROD-048,5,0.1
ORD-004,2020-04-08,2020-04-09,Third Class,CUST-364,PROD-019,9,0.2
ORD-005,2020-11-21,2020-11-28,First Class,CUST-225,PROD-030,10,0.2
ORD-006,2020-07-16,2020-07-17,Same Day,CUST-001,PROD-096,5,0
ORD-007,2020-12-20,2020-12-22,First Class,CUST-535,PROD-037,3,0.2
ORD-008,2020-06-20,2020-06-24,Second Class,CUST-275,PROD-011,10,0.1
ORD-009,2020-04-10,2020-04-14,Third Class,CUST-777,PROD-024,6,0
ORD-010,2020-06-24,2020-06-29,Same Day,CUST-959,PROD-047,1,0
ORD-011,2020-01-06,2020-01-11,Second Class,CUST-735,PROD-089,10,0
ORD-012,2020-02-03,2020-02-05,Second Class,CUST-754,PROD-019,1,0
ORD-013,2020-08-02,2020-08-05,Second Class,CUST-331,PROD-084,4,0
ORD-014,2020-05-11,2020-05-15,First Class,CUST-638,PROD-063,4,0
ORD-015,2020-12-24,2020-12-25,Third Class,CUST-129,PROD-062,6,0.1
ORD-016,2020-05-14,2020-05-15,Second Class,CUST-304,PROD-060,6,0.2
ORD-017,2020-07-09,2020-07-13,Third Class,CUST-240,PROD-024,9,0.2
ORD-018,2020-07-12,2020-07-18,Same Day,CUST-445,PROD-052,4,0.2
ORD-019,2020-08-17,2020-08-18,Third Class,CUST-195,PROD-049,5,0
ORD-020,2020-10-23,2020-10-27,Third Class,CUST-639,PROD-097,6,0.2
ORD-021,2020-12-01,2020-12-08,Second Class,CUST-877,PROD-040,10,0
ORD-022,2020-07-27,2020-07-31,Second Class,CUST-896,PROD-079,6,0.1
ORD-023,2020-11-16,2020-11-20,First Class,CUST-723,PROD-057,1,0.1
ORD-024,2020-11-25,2020-11-30,Second Class,CUST-590,PROD-093,5,0.1
ORD-025,2020-08-06,2020-08-13,Same Day,CUST-808,PROD-065,2,0
ORD-026,2020-02-15,2020-02-18,Third Class,CUST-516,PROD-027,8,0
ORD-027,2020-05-02,2020-05-08,Same Day,CUST-252,PROD-054,7,0.1
ORD-028,2020-03-29,2020-04-05,First Class,CUST-104,PROD-088,7,0
ORD-029,2020-11-29,2020-12-06,Second Class,CUST-938,PROD-047,2,0.1
ORD-030,2020-12-27,2020-12-28,Same Day,CUST-994,PROD-071,4,0
ORD-031,2020-10-11,2020-10-16,First Class,CUST-212,PROD-003,6,0
ORD-032,2020-05-14,2020-05-19,Same Day,CUST-864,PROD-024,3,0
ORD-033,2020-09-28,2020-09-30,Same Day,CUST-784,PROD-092,3,0.1
ORD-034,2020-12-25,2020-12-27,Second Class,CUST-403,PROD-004,10,0.2
ORD-035,2020-05-21,2020-05-28,Third Class,CUST-277,PROD-019,2,0
ORD-036,2020-09-08,2020-09-11,Second Class,CUST-642,PROD-042,3,0.2
ORD-037,2020-08-27,2020-08-31,First Class,CUST-705,PROD-051,6,0.1
ORD-038,2020-10-10,2020-10-15,Third Class,CUST-974,PROD-003,8,0.2
ORD-039,2020-02-04,2020-02-10,Third Class,CUST-501,PROD-070,9,0
ORD-040,2020-09-07,2020-09-10,Third Class,CUST-558,PROD-034,6,0.1
ORD-041,2020-11-04,2020-11-07,Second Class,CUST-280,PROD-034,7,0.1
ORD-042,2020-03-01,2020-03-03,Third Class,CUST-789,PROD-034,7,0.2
ORD-043,2020-11-25,2020-12-02,Third Class,CUST-392,PROD-097,2,0
