Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Quantity,Discount
ORD-001,2023-09-29,2023-10-01,Second Class,CUST-166,PROD-040,10,0.1
ORD-002,2023-02-11,2023-02-14,Same Day,CUST-479,PROD-059,8,0.2
ORD-003,2023-02-08,2023-02-11,Same Day,CUST-504,PROD-093,6,0.1
ORD-004,2023-08-16,2023-08-23,Third Class,CUST-306,PROD-032,6,0
ORD-005,2023-06-12,2023-06-17,Same Day,CUST-119,PROD-040,3,0.2
ORD-006,2023-04-17,2023-04-24,Third Class,CUST-819,PROD-099,2,0.2
ORD-007,2023-01-28,2023-02-04,Second Class,CUST-699,PROD-037,1,0.2
ORD-008,2023-02-24,2023-02-28,Same Day,CUST-628,PROD-094,8,0.1
ORD-009,2023-04-06,2023-04-10,Same Day,CUST-252,PROD-095,9,0.2
ORD-010,2023-12-15,2023-12-17,Same Day,CUST-617,PROD-021,9,0.1
ORD-011,2023-04-28,2023-04-30,Second Class,CUST-260,PROD-028,7,0.1
ORD-012,2023-12-08,2023-12-09,First Class,CUST-508,PROD-079,1,0.1
ORD-013,2023-06-12,2023-06-16,Third Class,CUST-219,PROD-100,2,0.1
ORD-014,2023-05-02,2023-05-07,Third Class,CUST-386,PROD-040,6,0.2
ORD-015,2023-06-08,2023-06-09,First Class,CUST-500,PROD-058,6,0.1
ORD-016,2023-11-28,2023-12-05,Third Class,CUST-257,PROD-003,10,0.2
ORD-017,2023-12-20,2023-12-24,Same Day,CUST-482,PROD-078,9,0
ORD-018,2023-06-22,2023-06-27,Third Class,CUST-293,PROD-058,9,0
ORD-019,2023-04-04,2023-04-06,Same Day,CUST-326,PROD-091,9,0.2
ORD-020,2023-04-28,2023-05-05,Same Day,CUST-348,PROD-035,7,0.2
ORD-021,2023-01-13,2023-01-17,Second Class,CUST-478,PROD-046,10,0.2
ORD-022,2023-10-28,2023-11-01,Second Class,CUST-349,PROD-009,3,0
ORD-023,2023-03-13,2023-03-18,Third Class,CUST-254,PROD-092,1,0.1
ORD-024,2023-08-16,2023-08-22,Third Class,CUST-039,PROD-017,3,0
ORD-025,2023-02-04,2023-02-07,Same Day,CUST-855,PROD-060,2,0.1
