Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Quantity,Discount
ORD-001,2021-12-01,2021-12-05,First Class,CUST-288,PROD-027,10,0.1
ORD-002,2021-05-03,2021-05-04,Third Class,CUST-539,PROD-040,5,0.2
ORD-003,2021-04-01,2021-04-05,Second Class,CUST-084,PROD-097,7,0.2
ORD-004,2021-02-08,2021-02-11,Third Class,CUST-836,PROD-097,4,0.1
ORD-005,2021-02-02,2021-02-08,Third Class,CUST-167,PROD-005,5,0.1
ORD-006,2021-06-27,2021-06-29,Same Day,CUST-937,PROD-050,3,0
ORD-007,2021-08-14,2021-08-18,Same Day,CUST-313,PROD-038,6,0.2
ORD-008,2021-07-01,2021-07-04,Same Day,CUST-088,PROD-083,1,0.2
ORD-009,2021-11-25,2021-11-27,Same Day,CUST-982,PROD-070,10,0.1
ORD-010,2021-03-30,2021-04-03,Same Day,CUST-054,PROD-007,2,0
ORD-011,2021-04-25,2021-05-02,Third Class,CUST-481,PROD-020,3,0.1
ORD-012,2021-05-14,2021-05-16,Second Class,CUST-061,PROD-019,9,0
ORD-013,2021-11-07,2021-11-14,Same Day,CUST-606,PROD-065,7,0.1
ORD-014,2021-11-21,2021-11-27,First Class,CUST-620,PROD-082,8,0
ORD-015,2021-06-28,2021-07-02,Third Class,CUST-268,PROD-035,8,0.1
ORD-016,2021-12-02,2021-12-08,Same Day,CUST-970,PROD-026,9,0.1
ORD-017,2021-08-21,2021-08-25,Third Class,CUST-408,PROD-039,9,0.2
ORD-018,2021-03-18,2021-03-20,Same Day,CUST-517,PROD-036,4,0.1
ORD-019,2021-05-09,2021-05-11,First Class,CUST-436,PROD-010,10,0.1
ORD-020,2021-04-07,2021-04-08,Third Class,CUST-894,PROD-041,1,0.2
ORD-021,2021-12-24,2021-12-30,Same Day,CUST-303,PROD-087,10,0.2
ORD-022,2021-04-03,2021-04-06,Same Day,CUST-995,PROD-042,9,0.2
ORD-023,2021-06-24,2021-06-25,Same Day,CUST-622,PROD-087,9,0.2
ORD-024,2021-01-03,2021-01-08,Third Class,CUST-622,PROD-053,3,0.1
ORD-025,2021-09-12,2021-09-17,First Class,CUST-991,PROD-086,7,0.2
ORD-026,2021-08-26,2021-08-29,First Class,CUST-045,PROD-026,7,0
ORD-027,2021-06-12,2021-06-15,Second Class,CUST-811,PROD-061,9,0.1
ORD-028,2021-04-03,2021-04-06,Same Day,CUST-198,PROD-094,1,0.1
ORD-029,2021-07-24,2021-07-31,First Class,CUST-302,PROD-010,4,0.1
ORD-030,2021-09-11,2021-09-15,Third Class,CUST-611,PROD-053,9,0.2
ORD-031,2021-11-14,2021-11-16,Third Class,CUST-742,PROD-099,10,0.2
ORD-032,2021-07-22,2021-07-25,Same Day,CUST-535,PROD-047,8,0.2
ORD-033,2021-02-04,2021-02-11,Third Class,CUST-454,PROD-006,1,0
ORD-034,2021-10-06,2021-10-10,Same Day,CUST-504,PROD-073,6,0
ORD-035,2021-02-17,2021-02-23,First Class,CUST-683,PROD-054,9,0.1
ORD-036,2021-05-29,2021-06-03,Third Class,CUST-404,PROD-094,2,0
ORD-037,2021-11-02,2021-11-03,Same Day,CUST-659,PROD-040,4,0
ORD-038,2021-05-28,2021-06-04,Second Class,CUST-410,PROD-019,9,0.1
ORD-039,2021-01-29,2021-02-05,First Class,CUST-278,PROD-032,5,0
ORD-040,2021-09-06,2021-09-09,Second Class,CUST-161,PROD-002,10,0.2
ORD-041,2021-07-11,2021-07-14,Second Class,CUST-899,PROD-079,1,0.2
ORD-042,2021-10-11,2021-10-12,First Class,CUST-912,PROD-061,9,0
ORD-043,2021-06-11,2021-06-16,Third Class,CUST-334,PROD-071,7,0.1
ORD-044,2021-01-04,2021-01-10,Second Class,CUST-341,PROD-001,7,0
ORD-045,2021-07-25,2021-07-28,First Class,CUST-855,PROD-046,8,0
ORD-046,2021-02-21,2021-02-23,Second Class,CUST-417,PROD-063,10,0
ORD-047,2021-05-22,2021-05-26,Third Class,CUST-050,PROD-060,9,0
ORD-048,2021-10-13,2021-10-16,Second Class,CUST-229,PROD-061,4,0.2
ORD-049,2021-09-10,2021-09-15,First Class,CUST-601,PROD-086,7,0.2
ORD-050,2021-03-02,2021-03-06,Third Class,CUST-016,PROD-017,6,0.1
ORD-051,2021-06-20,2021-06-25,Third Class,CUST-562,PROD-002,9,0.2
ORD-052,2021-02-21,2021-02-22,First Class,CUST-766,PROD-033,10,0.2
ORD-053,2021-08-02,2021-08-03,Third Class,CUST-291,PROD-050,8,0
ORD-054,2021-12-22,2021-12-29,Same Day,CUST-612,PROD-029,4,0
ORD-055,2021-11-27,2021-11-30,Third Class,CUST-864,PROD-086,9,0.1
ORD-056,2021-10-16,2021-10-23,Same Day,CUST-477,PROD-037,1,0
ORD-057,2021-10-06,2021-10-13,Third Class,CUST-970,PROD-060,4,0
ORD-058,2021-06-16,2021-06-22,Second Class,CUST-393,PROD-010,10,0
ORD-059,2021-12-05,2021-12-06,Third Class,CUST-319,PROD-090,3,0.2
ORD-060,2021-02-12,2021-02-18,Same Day,CUST-961,PROD-071,1,0.1
ORD-061,2021-06-01,2021-06-04,Same Day,CUST-806,PROD-064,1,0.1
ORD-062,2021-10-24,2021-10-28,Third Class,CUST-344,PROD-009,4,0.1
ORD-063,2021-09-10,2021-09-13,Third Class,CUST-948,PROD-097,1,0.2
ORD-064,2021-01-12,2021-01-16,Same Day,CUST-532,PROD-036,10,0.1
ORD-065,2021-02-18,2021-02-20,Same Day,CUST-353,PROD-092,9,0.1
ORD-066,2021-03-23,2021-03-29,Second Class,CUST-735,PROD-052,3,0
ORD-067,2021-10-01,2021-10-07,Same Day,CUST-840,PROD-077,3,0.1
ORD-068,2021-04-04,2021-04-07,First Class,CUST-499,PROD-029,5,0
ORD-069,2021-10-15,2021-10-16,First Class,CUST-952,PROD-088,9,0.2
ORD-070,2021-09-27,2021-09-30,First Class,CUST-117,PROD-022,10,0.2
ORD-071,2021-01-28,2021-01-31,Same Day,CUST-581,PROD-020,2,0.1
ORD-072,2021-11-21,2021-11-27,Same Day,CUST-700,PROD-041,5,0.2
ORD-073,2021-10-24,2021-10-31,Second Class,CUST-857,PROD-020,8,0.1
ORD-074,2021-02-09,2021-02-15,Third Class,CUST-475,PROD-090,7,0.1
ORD-075,2021-11-17,2021-11-22,Same Day,CUST-784,PROD-090,8,0.1
ORD-076,2021-12-08,2021-12-09,Third Class,CUST-603,PROD-024,3,0.1
ORD-077,2021-05-13,2021-05-18,Third Class,CUST-845,PROD-042,3,0
ORD-078,2021-02-25,2021-02-28,Third Class,CUST-361,PROD-077,2,0.2
ORD-079,2021-06-10,2021-06-14,Same Day,CUST-292,PROD-099,9,0.2
ORD-080,2021-09-15,2021-09-16,First Class,CUST-263,PROD-073,2,0.2
ORD-081,2021-05-19,2021-05-25,First Class,CUST-538,PROD-048,9,0
ORD-082,2021-03-29,2021-03-31,First Class,CUST-011,PROD-099,6,0
ORD-083,2021-05-29,2021-06-02,Third Class,CUST-933,PROD-030,2,0.1
ORD-084,2021-11-23,2021-11-28,Same Day,CUST-929,PROD-050,6,0.2
ORD-085,2021-12-24,2021-12-26,Same Day,CUST-198,PROD-023,7,0.2
ORD-086,2021-10-12,2021-10-18,Third Class,CUST-199,PROD-039,10,0
ORD-087,2021-11-30,2021-12-01,Second Class,CUST-580,PROD-001,3,0.1
ORD-088,2021-04-28,2021-05-03,Same Day,CUST-885,PROD-089,5,0.1
ORD-089,2021-05-07,2021-05-12,Third Class,CUST-648,PROD-042,5,0.2
ORD-090,2021-10-15,2021-10-18,Third Class,CUST-958,PROD-010,9,0
ORD-091,2021-10-14,2021-10-16,First Class,CUST-922,PROD-100,10,0.2
ORD-092,2021-01-10,2021-01-15,First Class,CUST-514,PROD-003,10,0.2
ORD-093,2021-10-25,2021-10-27,Third Class,CUST-585,PROD-040,1,0.1
ORD-094,2021-01-18,2021-01-25,Third Class,CUST-441,PROD-062,2,0
ORD-095,2021-10-28,2021-10-31,Same Day,CUST-408,PROD-070,2,0.2
ORD-096,2021-03-13,2021-03-14,First Class,CUST-846,PROD-035,3,0.1
